"Input"	"Output"	"Source_1"	"Context_1"	"Source_2"	"Context_2"	"Source_3"	"Context_3"	"Source_4"	"Context_4"	"Source_5"	"Context_5"
"視覚障害者誘導用ブロックの点状突起を配列するブロックの最小の大きさは、目地込みで何mm四方以上とされていますか？"	"視覚障害者誘導用ブロックの点状突起を配列するブロックの最小の大きさは、目地込みで**300mm四方以上**とされています。"	"06_交通安全（愛知_設計手引き）.pdf"	"点状ブロックの形状・寸法および配列
・点状突起を配列するブロック等の大きさは**300mm (目地込み) 四方以上**とする。"	"福島県＿道路設計マニュアル506580.pdf"	"最小可能施工厚さは仕上がり厚で、骨材最大粒径が**20mmの場合5cm**、骨材最大粒径が**13mmの場合4cm**を標準とする。"	"福島県＿道路設計マニュアル506580.pdf"	"最小可能施工厚さは仕上がり厚で、骨材最大粒径が**20mmの場合5cm**、骨材最大粒径が**13mmの場合4cm**を標準とする[18]。"	"道路安全施設 機能別分類説明.pdf"	"視覚障害者は、... 弱視者は、視覚障害者誘導用ブロックの**色のコント ラスト**により認識している場合もある。 [18]"	"道路構造令の解説と運用（令和3年）_R3年3月-13.pdf"	"設ri-速1¢ (屯位1時問につきキロ メートル) 視距(単位メー トル)
120 **210**
100 **160**
80 **110**
60 **75**
50 **55**
40 **40**
30 **30**
20 **20**"
"排水性舗装の修繕において、空隙つぶれや骨材飛散の進行を抑制するために開発された予防的維持工法の例を挙げてください。"	"排水性舗装の骨材飛散や空隙つぶれの進行を抑制する予防的維持工法としては、**トップコート工法**や**透水性樹脂モルタル充填工法**が開発されています[52]。"	"透水性_排水性舗装＿日本アスファルト協会215.pdf"	"骨材飛散や空隙つぶれの予防的維持工法としては，q排水性舗装表面に樹脂を散布し被膜を形成する“**トップコート工法**”，w透水性の樹脂モルタルを排水性舗装表面の凹部に充填する“**透水性樹脂モルタル充填工法**”が1999年前後に開発され，室内試験等でその有効性が確認されている[52]"	"福島県＿道路設計マニュアル506580.pdf"	"維持工法は、舗装の機能を保持するための日常的に行われる手入れや軽微な補修工法であり、舗装の損傷が重篤な状態になる前に、予防的に施すものである。"	"福島県＿道路設計マニュアル506580.pdf"	"排水性舗装の機能回復作業方法については、現在のところ可能性がある方法として次の方法が検討されている。物理的手法: **高圧水による空隙づまり物の洗浄**、**圧縮空気による空隙づまり物の除去**、**バキュームによる空隙づまり物の吸引**、高圧水とバキュームの併用[45]"	"アスファルト舗装材料の種別と特性"	"排水性舗装（ポーラスアスファルト）は、空隙率20%というスカスカの構造（骨材の点接触構造）を持つため、通常のバインダでは骨材が容易に飛散（ラベリング）してしまう。これを防ぐために開発された特殊バインダである... 排水性舗装（ポーラスアスファルト混合物）には、このH型の使用が原則（事実上の必須）となっている[7]"	"福島県＿道路設計マニュアル506580.pdf"	"舗装の維持修繕工法を設計する際は次のような過程を経て工法を選定し、設計する。なお、下記フローより修繕工法が選定される箇所にやむを得ず維持工法を選定する場合には維持工法の適用効果が低くならないように、双方の経済性やリスクに留意して設計すること。[65]"
"アスファルト舗装の等値換算厚を計算する際、上層路盤に使用される瀝青安定処理（加熱混合）の等値換算係数（a）はいくらですか？"	"上層路盤に使用される瀝青安定処理（加熱混合）の等値換算係数（a）は**1.00**です[10]。"	"04_舗装（愛知_設計手引き）.pdf"	"表3.15 等值換算係数
上層路盤
瀝青安定処理
加熱混合
安定度 [50回突固め] 3.43 kN 以上
**1.00**"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"表1-1 舗装各層に用いる材料・工法の等値換算係数|使用する層: 表層基層, 材料・工法: 加熱アスファルト混合物, 品質規格: ストレートアスファルトを使用混合物の性状は表1-2による。|等値換算係数a: 1.00|[53]"	"アスファルト舗装材料の種別と特性"	"瀝青安定処理路盤（Bituminous Stabilization） : 加熱アスファルト混合物による路盤。前述の通り、Ta=0.80という高い構造強度を持ち、重交通路線の舗装厚を抑制しつつ耐久性を確保する切り札となる。[1]"	"アスファルト舗装材料の種別と特性.docx"	"N5区間（瀝青安定処理路盤の採用）: N5クラスの疲労破壊輪数（100万回）に耐えるためには、表層・基層だけでは剛性が不足する。そのため、上層路盤に「瀝青安定処理路盤（Bituminous Stabilized Base）」を採用している。この材料は、骨材とアスファルトを加熱混合したもので、等値換算係数（Ta法における強度係数）が 0.80 と極めて高い（粒状路盤は0.35）1。これにより、**舗装全体の剛性を飛躍的に高め、表層のひび割れを防いでいる**。"	"国総研＿舗装設計ks0285004.pdf"	"必要アスファルト等値換算舗装厚」の算定は式 (8) によるものとする[54], [55]。$T_{A}=rac{3.84N^{0.16}}{CBR^{0.3}}$ (8)...ここに、**$T_{A}$**:必要アスファルト等値換算舗装厚(cm)、**N**:設計供用期間における設計荷重の作用回数 n を49kN 輪荷重に換算した数値で、式(9)によるものとした[54], [55]。**CBR**:路床の設計CBR[54], [55]。"
"道路反射鏡を設置する交差部において、信号制御されていない従道路で右方向を確認する際、見通すことができる距離が規定値以下の場合、何が設置されますか？"	"道路反射鏡を設置する交差部において、信号制御されていない従道路で右方向の見通すことができる距離が規定値以下の場合、必要に応じて**道路反射鏡**が設置されます[23]。"	"06_交通安全（愛知_設計手引き）.pdf"	"交差部で次のいずれかに該当する場所には、必要に応じて**道路反射鏡**を設置するものとする。
① 次の(a)または(b)に該当する信号制御されていない交差点
(b) 従道路において右方向を確認する際、見通すことができる距離が次式において求められた値以下の場合。"	"02_道路幅員（愛知_設計手引き）.pdf"	"植樹帯※6 | 1.5m を標準<br>として設置 ※7<br>必要がある場合 ※8 においては、1.5mを標準として設置... ※6 (植樹帯) 車道部左側についての規定であり、中央帯の規定ではない。 [13]"	"01_総則_愛知_設計手引き）.pdf"	"最小曲線半径(m)
設計速度
信号交差点および一時停
止制御交差点の主道路
一時停止
制御交差点
の従道路
標準値 特例値
60 150 120 **60**
50 100 80 **40**
40 60 50 **30**
30 30 15 **15**
20 15 15 **15**"	"福島県＿道路設計マニュアル506580.pdf"	"車道及び側帯の舗装の施工直後の平たん性は、2.4mm以下で設定するが、沿道の環境保全(振動・騒音)への要求などを考慮して適切な値を設定する。[41]"
"設計体系の改定骨子（案）において、適切な舗装設計への誘導のために、何を評価することが規定されていますか？"	"設計体系の改定骨子（案）では、各性能が限界状態に到達するまでの期間を基に**ライフサイクルコスト（LCC）を評価すること**が規定されています[5]。これは、長持ちする舗装設計への誘導を図ることを目的としています[5]。"	"舗装の要求性能の整理と設計体系のあり方 基本方針まとめ.pdf"	"・各性能が限界状態に到達するまでの期間を基に **LCC を評価することを規定**。
⇒適切な舗装種別選定を始めとした長持ちする舗装設計への誘導。説明性の高い予算要求。"	"福島県＿道路設計マニュアル506580.pdf"	"舗装工の設計、施工に関する技術基準の体系は図1-2-1のとおりである。法令・通達報告書には道路法、道路構造令、国土交通省令（車道及び側帯の舗装の構造に関する省令）が含まれる。[2]"	"福島県＿道路設計マニュアル506580.pdf"	"舗装の設計の基本的な目標として設計期間、舗装計画交通量、舗装の性能指標および性能指標の値を設定する。"	"福島県＿道路設計マニュアル506580.pdf"	"舗装の設計の基本的な目標として設計期間、舗装計画交通量、舗装の性能指標および性能指標の値を設定する。[56]"	"国総研＿舗装設計ks0285004.pdf"	"設計者が載荷重の交通量（作用回数）を設定しなくても，舗装厚は仕様規定的に決定することができる方法が示されている[42]。この方法は,簡便であるとともに，長年にわたる実績により適用性が認められているものと考えられるが，**設計された舗装が保有する性能が不明確**であり，**施設の利用状況等に応じた合理的な舗装構造を設定することができない**という問題がある[42]。"
"舗装の多層構造において、タイヤから路面に作用する高い接地圧を最終的に路床が支持可能なレベルまで低減させるための基本原理は何ですか？"	"舗装の多層構造において、タイヤから路面に作用する高い接地圧を路床が支持可能なレベルまで低減させるための基本原理は、「**荷重分散（Load Distribution）**」です。各層が厚さと剛性によって荷重を分散させることで、この機能が達成されます。"	"アスファルト舗装材料の種別と特性.docx"	"アスファルト舗装は、路床（Subgrade）の上に、「路盤（Base Course）」、「基層（Binder Course）」、「表層（Surface Course）」を順次積層した構造を基本とする3。この多層構造の基本原理は「荷重分散（Load Distribution）」にある。タイヤから路面に作用する高い接地圧（通常0.6〜0.7MPa程度）を、各層が厚さと剛性によって分散させ、最終的に路床が支持可能なレベルの応力まで低減させるのである。"	"アスファルト舗装材料の種別と特性"	"騒音低減機能 : タイヤと路面の間で圧縮される空気を空隙に逃がす（エアーポンピング音の低減）とともに、多孔質構造が吸音材として機能し、交通騒音を**3dB以上**（交通量を半減させた効果に相当）低減させる。"	"アスファルト舗装材料の種別と特性"	"騒音低減機能 : タイヤと路面の間で圧縮される空気を空隙に逃がす（エアーポンピング音の低減）とともに、多孔質構造が吸音材として機能し、交通騒音を3dB以上（交通量を半減させた効果に相当）低減させる。[4]"	"アスファルト舗装材料の種別と特性"	"騒音低減機能 : タイヤと路面の間で圧縮される空気を空隙に逃がす（**エアーポンピング音の低減**）とともに、**多孔質構造が吸音材として機能**し、交通騒音を3dB以上（交通量を半減させた効果に相当）低減させる[22]。"	"透水性_排水性舗装＿日本アスファルト協会215.pdf"	"二層式低騒音舗装は、**タイヤ／路面間発生音の低減**と、**雨水を排水することによる環境上の機能性および安全性**を改善する舗装での排水システムを最適化するため，異なる粒径の骨材粒度からなる２種類の排水性舗装を２層に舗設するもの[91]。"
"アスファルト舗装工において、アスファルト混合物の締固め後密度がどの範囲外にある場合、数量算出の適用から除かれますか？（現地プラント方式の場合）"	"アスファルト舗装工（現地プラント方式）の数量算出は、アスファルト混合物の締固め後密度が**1.90t/m²未満、2.50t/m²以上の場合**は、適用から除かれます[61]。"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"アスファルト舗装工における基層・中間層・表層及び縁石工におけるアスカーブに適用する。なお、アスファルト混合物が現地プラント方式の場合、アスファルト混合物の締固め後密度が**1.90t/m²未満、2.50t/m²以上の場合**を除く。[61]"	"福島県＿道路設計マニュアル506580.pdf"	"アスファルト舗装の設計において、交通荷重が舗装の破壊に及ぼす程度はその荷重の大きさの4乗に比例するとの考えのもと、すべての輪荷重を49ｋN（5tf）の輪数に換算した値が設計条件として考慮される"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"表1-1 舗装各層に用いる材料・工法の等値換算係数|使用する層: 表層基層, 材料・工法: 加熱アスファルト混合物, 品質規格: ストレートアスファルトを使用混合物の性状は表1-2による。|等値換算係数a: 1.00|[53]"	"国総研＿舗装設計ks0285004.pdf"	"アスファルト舗装の設計においては、交通荷重が舗装の破壊に及ぼす程度はその荷重の大きさの**4乗**に比例するとの考えのもと、すべての輪荷重を**49kN** (5tf) の輪数に換算した値が設計条件として考慮される[44], [45]。"	"国総研＿舗装設計ks0285004.pdf"	"アスファルト舗装の設計においては，交通荷重が舗装の破壊に及ぼす程度はその荷重の大きさの4乗に比例すると[6, 11, 12]"
"道路標識に用いられる文字のうち、一般道路の標識に用いる漢字の書体は何ですか？"	"一般道路の標識に用いる漢字の書体は**丸ゴシック体**です（統一された文字としては**ナールD**または**ナールDB**が使用されます）。"	"06_交通安全（愛知_設計手引き）.pdf"	"道路標識に用いられる書体として、**一般道路の標識に用いる文字は、丸ゴシック体**とし、自動車専用道路等の案内標識に用いる文字は角ゴシック体、規制標識等は丸ゴシック体とする。
なお、統一された美しく読みやすい文字として、漢字には**ナールD**（青地・白文字）, **ナールDB**（白地・青文字）を、また、数字及びローマ字にはヘルベチカ・デミボールドの書体を使用することとする。"	"アスファルト舗装材料の種別と特性.docx"	"排水性舗装（ポーラスアスファルト混合物）には、このH型の使用が原則（事実上の必須）となっている1。[9]"	"アスファルト舗装材料の種別と特性.docx"	"適用箇所 : **交通量区分N1〜N4**（軽交通から中交通）の表層、および一般的な基層材料として広く使用される[16]。また、歩道や駐車場などの軽荷重舗装の標準材料である[16]。実務上、N4以下の路線では、過剰品質を避けるために本材料（またはこれを用いた再生材）の使用が許容されている[16]。"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"区 分 設計速度 (単位1時間につき キロメートル) 縦断S配 (単位パーセント)
第 4 種
普通道路
60 5 7
50 6 8
40 **7** 9"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-10.pdf"	"その他の道路の2 mについては車いすどうしのすれ違いが可能となるように定めたものである [16]"
"歩道に並木を設ける場合、その幅員は歩道の規定幅員に加えて何メートル加算されますか？"	"歩道に並木を設ける場合、その幅員は歩道の規定幅員に加えて**1.5メートル**加算されます。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-2.pdf"	"4横断歩道橋等又は路上施設を段ける歩道の幅員については,前項に規定する幅員の値に横断歩道橋等を設ける場合にあっては3 メートル,ベンチの上屋を設ける場合にあっては2 メートル,**並木を設ける場合にあっては 1.5 メートル**,ベンチを設ける場合にあつては1メートル,その他の場合 にあつては0.5 メー トルを加えて同項の規定を適用するものとする。 [15]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-10.pdf"	"道路構造令第11条第3項に規定する幅員は,歩行者の交通量が多い道路の3.5 mについては,車いす(占有幅1.0 m) 2台と歩行者C占有幅0.75 m) 2人のすれ違いが可能となるように,その他の道路の2 mについては車いすどうしのすれ違いが可能となるように定めたものである [16]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-8.pdf"	"5第3種第5級の普通道路の車道(自転車通行帯を除く。)の幅員は,**4 メートル**とするものとする。ただし,当該普通道路の計画交通景が極めて少なく,かつ,地形の状況その他の特別の理^に よりやむを得ない場合又は第31条の2の規定により車道に狭窄部を設ける場合においては,**3 メートル**とすることができる。 [10]"	"02_道路幅員（愛知_設計手引き）.pdf"	"(3) 橋梁部の幅員について... (a) 橋梁部の幅員は, **L=100m 以上の場合に設定**する。なお、自転車道,自転車通行帯又は自転車歩行者道を設けない道路においては, L=100m以上であっても**路肩幅員の縮小を行わないことを基本**とする。 [21]"	"02_道路幅員（愛知_設計手引き）.pdf"	"中央帯の中央帯の幅員は,道路構造令では、最低幅員として1.0mと規定されているが、本書では植栽等を考慮した施設帯幅員として1.0m を確保することを基本に、第4種の道路の中央帯幅員は2.0mを標準とする。 [13]"
"積雪寒冷地における排水性舗装の適用について、凍結融解による破壊やチェーンによる摩耗は確認されていないものの、冬期の路面管理において留意すべき点を説明してください。"	"積雪寒冷地における排水性舗装では、**冬期の路面雪氷の融解が遅い傾向にある**ため、気象条件を考慮した適切な路線選定と、冬期時の路面管理に十分配慮する必要があります[57]。"	"福島県＿道路設計マニュアル506580.pdf"	"積雪寒冷地において、凍結融解による破壊やチェーン等による摩耗など、舗装としての耐久性の問題は特に確認されていないため適用は可能であり... しかし、**冬期の路面雪氷の融解が遅い傾向にある**といわれており、気象条件等の現場環境を考慮して適切な路線選定を行うとともに、冬期時の路面管理を十分に配慮する必要がある[57]。"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"積雪寒冷地域に存する道路の車道及び側帯の舗装の施工に当たっては、路床の状態を勘案して必要がある場合においては、**路床土の凍結融解による舗装の破損を防止する対策**を行うものとする[66]。"	"アスファルト舗装材料の種別と特性.docx"	"特性 : 主な改善点は「**低温特性**」と「**タフネス**」の向上である[18]。低温時の伸度（Ductility）を大きくすることで、寒冷地における**サーマルクラック（低温ひび割れ）の発生を抑制**する[18]。また、骨材把握力の向上により耐摩耗性も改善される[18]。適用 : **積雪寒冷地**における表層用バインダとして標準的に採用されるほか、一般地域においても、ひび割れ抵抗性が求められる箇所で使用される[19]。"	"アスファルト舗装材料の種別と特性"	"耐摩耗性: 走行車両のタイヤとの摩擦、特に制動・発進時や旋回時に作用する強いせん断力に耐える必要がある。また、積雪寒冷地においては、**タイヤチェーン**やかつてのスパイクタイヤによる**切削作用**に対する抵抗性が不可欠である[11]。"	"道路構造令の解説と運用（令和3年）_R3年3月-17.pdf"	"2積雪寒冷の度がはなはだしい地域に存する道路にあっては,合成勾配は,**8パーセント以下**とするものとする。"
